,boot,f,S,L,cov
294,293,1.9539539423079049,1.9623662471520795,0.11186741584710974,1.0657394407254805
295,294,1.9302951032381563,2.332589182638099,0.19246363910201658,1.4691283511965019
296,295,2.0502630659157024,1.7573564736864382,-0.5342513574593762,0.6298669730373061
297,296,1.6841214986306403,1.722508904722179,-0.09988112250356247,0.8381718833454075
298,297,2.036257352248873,1.5025755387645585,-0.582769030396248,0.4193749989802393
299,298,1.8980535023819993,1.849945037916696,-0.08095347776202037,0.9005414820142487
300,299,1.8007625522974717,1.9411432995079005,0.2369249662752551,1.1507951134225964
301,300,1.8283408659042986,1.534565059200988,-0.31681681638284837,0.6077798750311988
302,301,2.310823850244348,1.851973191299052,-0.07121227050172296,0.8925283502239112
303,302,1.870473174453046,1.688372281593127,-0.30926496508845186,0.6821357840199979
304,303,1.8291271756213625,1.64195078871248,-0.2594924846240924,0.6913802289903235
305,304,2.074465505742062,1.7435382463060913,-0.23083492244501208,0.745921613833029
306,305,1.7563200304086717,1.9261814548428848,0.0973074360918259,1.0519572627984104
307,306,2.045157382178878,1.8801064382413075,-0.4021563231870213,0.7464737480012803
308,307,1.9802544630031853,1.6826620999987385,-0.3207975486109807,0.6536055934469021
309,308,2.0550399450462056,2.297806206877001,0.3228927275912228,1.360820934765814
310,309,1.808850281275747,1.8135203627708267,0.017034271545081296,0.933267663593997
311,310,1.9988713273186722,1.7239467694191375,-0.3774166698409893,0.6592325309064464
312,311,2.0777914789141643,1.9517531616896764,-0.03741202654087616,0.9683619407440633
313,312,1.9374554548509375,1.980411539869284,0.05584011999338714,1.0660981129014184
314,313,1.9609378313249148,1.6849940882193133,-0.23434887744002197,0.7327906364194148
315,314,2.2875185894603187,1.6546801158653286,-0.2788688793781623,0.6729990225490855
316,315,1.8348067124821201,1.985984557841133,0.10035170843282509,1.0850407564094033
317,316,1.9425233105691113,1.7654413417317916,-0.18026074183837673,0.812817808693781
318,317,1.799871301156132,1.8737281183504433,0.018327500150814535,0.9715348407596951
319,318,2.1885801331602384,1.9573624528838591,-0.0881723566708064,0.951222633928695
320,319,1.9413965238311939,1.6424316041666274,-0.22897144096948016,0.6819260439794795
321,320,1.879183381488504,1.9601517139650737,0.08586643399629358,1.0753261373890004
322,321,2.074460879700844,1.6121410517719246,-0.43894763889999655,0.5569061415438883
323,322,1.839877879059628,1.7001600343131027,-0.14530900746790132,0.8323256208287122
324,323,1.905980427129625,1.9148011595732257,-0.04319473367784438,0.9948512189183427
325,324,2.1262097889982243,2.23797922471308,-0.044452325507118695,1.1383114647246184
326,325,1.9572521360862254,2.0722357228652704,0.10464126842851573,1.1296697546877852
