,Fitness,Day,anc1,anc2,anc3,f0,measurement var,Anc,Anc2,anc num
268,0.02165083210953167,12,1,2,1,0.062123959000000006,0.0025420358818436083,0,12,0
269,-0.034004421110847005,12,1,3,1,0.057406833,0.0027281185917167492,0,13,0
270,0.043469286261878626,12,2,4,1,0.060760042,0.002580326057481546,0,24,0
271,-0.04465007979941582,12,2,5,1,0.069380152,0.0022525469065244226,0,25,0
272,-0.00558108943099711,12,2,6,1,0.07133139,0.0021438580893973435,0,26,0
273,-0.05863975298153967,12,3,7,1,0.07685778,0.0021436667299562897,0,37,0
274,-0.08355971172326937,12,3,8,1,0.082290385,0.001983081363952792,0,38,0
275,-0.07937450061095408,12,3,9,1,0.081050847,0.0019446475053215087,0,39,0
276,-0.13428218420679272,12,1,1,2,0.071280835,0.002324821524919074,0,11,0
277,-0.14135221819302712,12,4,10,2,0.09135944300000001,0.001785589525647099,0,410,0
278,-0.15045480995079075,12,4,11,2,0.116263823,0.0015819674417877135,0,411,0
279,-0.22254112448647545,12,4,12,2,0.167300701,0.0011326054512738807,0,412,0
280,-0.03787978184498675,12,1,2,2,0.062013980999999996,0.002526533470362944,0,12,0
281,-0.12615616636315874,12,1,3,2,0.062046525,0.002700276017132145,0,13,0
282,-0.02932048327656167,12,2,4,2,0.051204541,0.003190847148267645,0,24,0
283,-0.018673536136986968,12,2,5,2,0.07119845400000001,0.0022437343500701736,0,25,0
284,-0.09595848843997423,12,2,6,2,0.067454185,0.0023484327709502152,0,26,0
285,-0.1965130139902973,12,3,7,2,0.09382351,0.0018891526264397324,0,37,0
286,-0.20271478581836266,12,3,8,2,0.076204587,0.0022613477586196475,0,38,0
287,-0.148587911224904,12,3,9,2,0.076280356,0.002136231648938001,0,39,0
